Wed Jan 23 23:59:51 +0000 2019,b'RT @MSNBC: Speaker Pelosi says the House will not consider a concurrent resolution that would authorize President Trump to deliver a State\xe2\x80\xa6',,,
Wed Jan 23 23:59:51 +0000 2019,"b'RT @BernieSanders: We don\xe2\x80\x99t need to create artificial crises like this government shutdown. We have enough real ones. Mr. President, end th\xe2\x80\xa6'",,,
Wed Jan 23 23:59:51 +0000 2019,"b""RT @HillaryClinton: The government shutdown is by far the longest in U.S. history. It's put hundreds of thousands of people under financial\xe2\x80\xa6""",,,A
Wed Jan 23 23:59:51 +0000 2019,"b'RT @SaysHummingbird: McConnell calls votes to get workers their pay ""absolutely pointless"" as he continues to block the reopening of govern\xe2\x80\xa6'",,,I
Wed Jan 23 23:59:51 +0000 2019,b'RT @bobbyship3: \xe2\x9c\x88\xef\xb8\x8f Each day the government is shutdown aviation safety is further compromised! These Senators must vote YES on opening up t\xe2\x80\xa6',,,I
Wed Jan 23 23:59:51 +0000 2019,b'RT @TravisAllen02: BREAKING: Nancy Pelosi says the State of the Union is CANCELLED until Trump ends the government shutdown.\n\nRetweet and l\xe2\x80\xa6',,,I
Wed Jan 23 23:59:50 +0000 2019,"b'RT @JosieFiorda: However, the Earth Alliance have the Cabal trapped on all fronts militarily (BRICS), economically (Brexit), and politicall\xe2\x80\xa6'",,,I
Wed Jan 23 23:59:50 +0000 2019,b'RT @TravisAllen02: BREAKING: Nancy Pelosi says the State of the Union is CANCELLED until Trump ends the government shutdown.\n\nRetweet and l\xe2\x80\xa6',,,A
Wed Jan 23 23:59:50 +0000 2019,"b'RT @CRN: .@PTC Blames Government Shutdown, Restructuring On Slipped Deals https://t.co/eYnJZxbvlv $PTC'",,,A
Wed Jan 23 23:59:50 +0000 2019,"b'If shutdown continues, it will likely cost more than the wall https://t.co/5S5btTfNbw'",,,
Wed Jan 23 23:59:50 +0000 2019,"b'RT @RepAdamSchiff: The shutdown\xe2\x80\x99s impact on federal workers is bad enough, but the FBI is also losing counter-terrorism sources and is unab\xe2\x80\xa6'",,,A
Wed Jan 23 23:59:50 +0000 2019,"b""RT @FOX29LC: Have questions about how the government shutdown is affecting food stamps? We've got some answers for you. https://t.co/QKz7eE\xe2\x80\xa6""",,,I
Wed Jan 23 23:59:49 +0000 2019,"b'RT @JeffreyDinowitz: In response to the current government shutdown, @AndrewCohenNYC and I will be collecting vital products for those fede\xe2\x80\xa6'",,,I
Wed Jan 23 23:59:49 +0000 2019,"b'RT @JohnStossel: The problem here isn\xe2\x80\x99t the government shutdown, it is the fact that the government thinks it needs to approve beer labels.\xe2\x80\xa6'",,,A
Wed Jan 23 23:59:49 +0000 2019,"b'RT @mkraju: Pelosi responds to Trump argument that she invited him initially when the government was shutdown. ""When I extended an invitati\xe2\x80\xa6'",,,I
Wed Jan 23 23:59:49 +0000 2019,"b'RT @JohnStossel: The problem here isn\xe2\x80\x99t the government shutdown, it is the fact that the government thinks it needs to approve beer labels.\xe2\x80\xa6'",,,A
Wed Jan 23 23:59:49 +0000 2019,b'RT @TravisAllen02: BREAKING: Nancy Pelosi says the State of the Union is CANCELLED until Trump ends the government shutdown.\n\nRetweet and l\xe2\x80\xa6',,,I
Wed Jan 23 23:59:49 +0000 2019,"b""RT @RBReich: Let's be very clear: Mitch McConnell and Republicans have essentially sacrificed the U.S. Senate to serve Trump during the shu\xe2\x80\xa6""",,,I
Wed Jan 23 23:59:49 +0000 2019,"b'RT @_SJPeace_: Saudia Shuler, the owner of Country Cookin in Philadelphia, bought and distributed groceries to government employees who can\xe2\x80\xa6'",,,I
Wed Jan 23 23:59:48 +0000 2019,b'RT @kylegriffin1: Tim Kaine again asked for consent to take up a House-passed bill that would fund every agency and department impacted by\xe2\x80\xa6',,,A
Wed Jan 23 23:59:48 +0000 2019,"b'RT @_SJPeace_: Saudia Shuler, the owner of Country Cookin in Philadelphia, bought and distributed groceries to government employees who can\xe2\x80\xa6'",,,
Wed Jan 23 23:59:48 +0000 2019,b'RT @SethAbramson: Just gonna throw out a 100% plausible hypothetical here: that this entire government shutdown is little more than a caree\xe2\x80\xa6',,,A
Wed Jan 23 23:59:48 +0000 2019,"b'RT @StormResist: Trump might get away with pushing foreign leaders around, but #MadamSpeaker is having none of it. \n\nHe CANNOT come to Cong\xe2\x80\xa6'",,,A
Wed Jan 23 23:59:48 +0000 2019,"b'RT @BernieSanders: We don\xe2\x80\x99t need to create artificial crises like this government shutdown. We have enough real ones. Mr. President, end th\xe2\x80\xa6'",,,I
Wed Jan 23 23:59:48 +0000 2019,b'RT @nowthisnews: This website is giving free medical weed to government employees during the shutdown https://t.co/xFhSrnJkq8',,,I
Wed Jan 23 23:59:48 +0000 2019,"b'RT @CNN: Here are just some of the direct effects of the partial government shutdown, the longest in US history \xe2\x80\x94 now in its 33rd day https\xe2\x80\xa6'",,,
Wed Jan 23 23:59:48 +0000 2019,b'RT @rob_sheridan: It\xe2\x80\x99s not \xe2\x80\x9ca sign\xe2\x80\x9d that they\xe2\x80\x99re \xe2\x80\x9cbracing for a lengthy funding lapse.\xe2\x80\x9d It\xe2\x80\x99s proof that they\xe2\x80\x99re using the shutdown as a hos\xe2\x80\xa6',,,
Wed Jan 23 23:59:48 +0000 2019,"b""RT @tictoc: Government programs that don't align with Trump's agenda are going dark faster than favored ones during the shutdown.\n\nCritics\xe2\x80\xa6""",,,I
Wed Jan 23 23:59:48 +0000 2019,"b'RT @SenKamalaHarris: This is a disgrace, and these survivors deserve better. https://t.co/7Nf4XnSFEs'",,,
Wed Jan 23 23:59:47 +0000 2019,b'RT @TDAmeritrade: Does the government shutdown have you stressed about tax time? We can help with online resources to answer your questions\xe2\x80\xa6',,,A
Wed Jan 23 23:59:47 +0000 2019,"b'RT @JohnWDean: TV news could have a big impact by refusing to cover his speech while government shutdown continues. No TV, and Trump will g\xe2\x80\xa6'",,,A
Wed Jan 23 23:59:47 +0000 2019,"b""RT @RBReich: Let's be very clear: Mitch McConnell and Republicans have essentially sacrificed the U.S. Senate to serve Trump during the shu\xe2\x80\xa6""",,,
Wed Jan 23 23:59:47 +0000 2019,"b""RT @RBReich: Let's be very clear: Mitch McConnell and Republicans have essentially sacrificed the U.S. Senate to serve Trump during the shu\xe2\x80\xa6""",,,I
Wed Jan 23 23:59:47 +0000 2019,"b""RT @MSNBC: According to new CBS News poll, 71% say a border wall isn't worth a government shutdown. \n\nhttps://t.co/IuJQpReE9g""",,,A
Wed Jan 23 23:59:47 +0000 2019,"b""RT @CBSNews: Federal workers to miss second paycheck if government doesn't reopen by midnight https://t.co/bI2qqOYrQ1 https://t.co/8xfLdEVh\xe2\x80\xa6""",,,A
Wed Jan 23 23:59:47 +0000 2019,"b""RT @SafetyPinDaily: Trump's top economist admitted that the government shutdown could cause a major mess for the US economy || via business\xe2\x80\xa6""",,,I
Wed Jan 23 23:59:46 +0000 2019,b'RT @SpecialReport: President Trump meets with conservative leaders this afternoon on day 33 of the partial government shutdown. He will dis\xe2\x80\xa6',,,I
Wed Jan 23 23:59:46 +0000 2019,b'RT @TravisAllen02: BREAKING: Nancy Pelosi says the State of the Union is CANCELLED until Trump ends the government shutdown.\n\nRetweet and l\xe2\x80\xa6',,,I
Wed Jan 23 23:59:46 +0000 2019,"b""RT @RBReich: Let's be very clear: Mitch McConnell and Republicans have essentially sacrificed the U.S. Senate to serve Trump during the shu\xe2\x80\xa6""",,,I
Wed Jan 23 23:59:46 +0000 2019,"b""RT @RBReich: Let's be very clear: Mitch McConnell and Republicans have essentially sacrificed the U.S. Senate to serve Trump during the shu\xe2\x80\xa6""",,,I
Wed Jan 23 23:59:46 +0000 2019,"b""RT @HillaryClinton: The government shutdown is by far the longest in U.S. history. It's put hundreds of thousands of people under financial\xe2\x80\xa6""",,,I
Wed Jan 23 23:59:45 +0000 2019,b'RT @kylegriffin1: Tim Kaine again asked for consent to take up a House-passed bill that would fund every agency and department impacted by\xe2\x80\xa6',,,
Wed Jan 23 23:59:45 +0000 2019,"b""RT @MSNBC: According to new CBS News poll, 71% say a border wall isn't worth a government shutdown. \n\nhttps://t.co/IuJQpReE9g""",,,I
Wed Jan 23 23:59:44 +0000 2019,"b'RT @davidfrum: Americans respond to Lara Trump argument that government shutdown is a ""bit of pain"" worth it for the greater good of the bo\xe2\x80\xa6'",,,I
Wed Jan 23 23:59:44 +0000 2019,"b'Orcas, too, are victims of the government shutdown | David Horsey https://t.co/LpT6hSfN8J'",,,
